soil_moisture_layer2,date,day,district,month,year
0.4272317237917266,2025-01-15,15,Mazabuka,1,2025
0.4290675457640405,2025-01-15,15,Monze,1,2025
0.4674252353177839,2025-01-15,15,Namwala,1,2025
0.4235716378066293,2025-01-15,15,Pemba,1,2025
0.3001091988823734,2025-01-15,15,Siavonga,1,2025
0.3359513648943877,2025-01-15,15,Sinazongwe,1,2025
0.4478890485609108,2025-01-15,15,Zimba,1,2025
0.4597776440745785,2025-01-15,15,Choma,1,2025
0.4391351310294113,2025-01-16,16,Livingstone,1,2025
0.3619707417464735,2025-01-16,16,Chikankanta,1,2025
0.2921283680087667,2025-01-16,16,Chirundu,1,2025
0.2854874921432867,2025-01-16,16,Gwembe,1,2025
0.4165780469923862,2025-01-16,16,Itezhi-Tezhi,1,2025
0.4761711622225898,2025-01-16,16,Kalomo,1,2025
0.43228657387476,2025-01-16,16,Kazungula,1,2025
0.4371966222565697,2025-01-16,16,Mazabuka,1,2025
0.4392936932607332,2025-01-16,16,Monze,1,2025
0.4718913047698648,2025-01-16,16,Namwala,1,2025
0.4352950153068466,2025-01-16,16,Pemba,1,2025
0.3222379353287287,2025-01-16,16,Siavonga,1,2025
0.3529422940379724,2025-01-16,16,Sinazongwe,1,2025
0.4527618608333157,2025-01-16,16,Zimba,1,2025
0.4687851983737882,2025-01-16,16,Choma,1,2025
0.4433385009868585,2025-01-17,17,Livingstone,1,2025
0.3835526265784144,2025-01-17,17,Chikankanta,1,2025
0.303510974171128,2025-01-17,17,Chirundu,1,2025
0.3089369140105718,2025-01-17,17,Gwembe,1,2025
0.4228471906279898,2025-01-17,17,Itezhi-Tezhi,1,2025
0.4804382925672855,2025-01-17,17,Kalomo,1,2025
0.4317576939086697,2025-01-17,17,Kazungula,1,2025
0.457180136623557,2025-01-17,17,Mazabuka,1,2025
0.4616567889058396,2025-01-17,17,Monze,1,2025
0.4805954590745924,2025-01-17,17,Namwala,1,2025
0.4569216283410666,2025-01-17,17,Pemba,1,2025
0.3472524953335613,2025-01-17,17,Siavonga,1,2025
0.3612080896415104,2025-01-17,17,Sinazongwe,1,2025
0.4543676753865669,2025-01-17,17,Zimba,1,2025
0.4801284727958483,2025-01-17,17,Choma,1,2025
0.4648376195429683,2025-01-18,18,Livingstone,1,2025
0.3832354031349027,2025-01-18,18,Chikankanta,1,2025
0.3057705152466591,2025-01-18,18,Chirundu,1,2025
0.3226447669325563,2025-01-18,18,Gwembe,1,2025
0.4192222777290251,2025-01-18,18,Itezhi-Tezhi,1,2025
0.487115299865891,2025-01-18,18,Kalomo,1,2025
0.4446612661392641,2025-01-18,18,Kazungula,1,2025
0.4601106872817526,2025-01-18,18,Mazabuka,1,2025
0.4665142688009814,2025-01-18,18,Monze,1,2025
0.4766698450322673,2025-01-18,18,Namwala,1,2025
0.4586115055633441,2025-01-18,18,Pemba,1,2025
0.3375987605044716,2025-01-18,18,Siavonga,1,2025
0.3663827842807742,2025-01-18,18,Sinazongwe,1,2025
0.4605990298095715,2025-01-18,18,Zimba,1,2025
0.4853308664011038,2025-01-18,18,Choma,1,2025
0.4616475750935597,2025-01-19,19,Livingstone,1,2025
0.3782530664827331,2025-01-19,19,Chikankanta,1,2025
0.2983794357605758,2025-01-19,19,Chirundu,1,2025
0.3291828145067159,2025-01-19,19,Gwembe,1,2025
0.409043900340174,2025-01-19,19,Itezhi-Tezhi,1,2025
0.4793728093339064,2025-01-19,19,Kalomo,1,2025
0.4488168422663458,2025-01-19,19,Kazungula,1,2025
0.4499746493512736,2025-01-19,19,Mazabuka,1,2025
0.4580467136584429,2025-01-19,19,Monze,1,2025
0.462682849503,2025-01-19,19,Namwala,1,2025
0.459629361214862,2025-01-19,19,Pemba,1,2025
0.3292877524964966,2025-01-19,19,Siavonga,1,2025
0.3624755182290191,2025-01-19,19,Sinazongwe,1,2025
0.4588951690208786,2025-01-19,19,Zimba,1,2025
0.4761099553269704,2025-01-19,19,Choma,1,2025
0.4511554853582618,2025-01-20,20,Livingstone,1,2025
0.3889456577511009,2025-01-20,20,Chikankanta,1,2025
0.2935503413144491,2025-01-20,20,Chirundu,1,2025
0.3246019391884391,2025-01-20,20,Gwembe,1,2025
0.4068326384368398,2025-01-20,20,Itezhi-Tezhi,1,2025
0.4755475221323904,2025-01-20,20,Kalomo,1,2025
0.4423046787963429,2025-01-20,20,Kazungula,1,2025
0.4495075126082121,2025-01-20,20,Mazabuka,1,2025
0.4542527439393868,2025-01-20,20,Monze,1,2025
0.4595890181843225,2025-01-20,20,Namwala,1,2025
0.4570183975048448,2025-01-20,20,Pemba,1,2025
0.3231219953431984,2025-01-20,20,Siavonga,1,2025
0.3538703988203315,2025-01-20,20,Sinazongwe,1,2025
0.451532070828728,2025-01-20,20,Zimba,1,2025
0.4690717363760556,2025-01-20,20,Choma,1,2025
0.46512779908517,2025-01-21,21,Livingstone,1,2025
0.4310054020466904,2025-01-21,21,Chikankanta,1,2025
0.3213828238878877,2025-01-21,21,Chirundu,1,2025
0.3518874487096974,2025-01-21,21,Gwembe,1,2025
0.4377811843466677,2025-01-21,21,Itezhi-Tezhi,1,2025
0.4944473168869649,2025-01-21,21,Kalomo,1,2025
0.4625218947777444,2025-01-21,21,Kazungula,1,2025
0.4904592229285627,2025-01-21,21,Mazabuka,1,2025
0.4852092783786828,2025-01-21,21,Monze,1,2025
0.4888854597148945,2025-01-21,21,Namwala,1,2025
0.468262165876953,2025-01-21,21,Pemba,1,2025
0.3501457487822876,2025-01-21,21,Siavonga,1,2025
0.3678770194793111,2025-01-21,21,Sinazongwe,1,2025
0.4627099801332521,2025-01-21,21,Zimba,1,2025
0.4892364714147519,2025-01-21,21,Choma,1,2025
0.4614278619159624,2025-01-22,22,Livingstone,1,2025
0.4284709163258774,2025-01-22,22,Chikankanta,1,2025
0.3591838059954115,2025-01-22,22,Chirundu,1,2025
0.3543353422411973,2025-01-22,22,Gwembe,1,2025
0.4360855980183021,2025-01-22,22,Itezhi-Tezhi,1,2025
0.4928386476304795,2025-01-22,22,Kalomo,1,2025
0.4560876659783216,2025-01-22,22,Kazungula,1,2025
0.4830903638052402,2025-01-22,22,Mazabuka,1,2025
0.4775131949831469,2025-01-22,22,Monze,1,2025
0.4827549901491135,2025-01-22,22,Namwala,1,2025
0.4603205996256292,2025-01-22,22,Pemba,1,2025
0.3749056629750921,2025-01-22,22,Siavonga,1,2025
0.3675866764889426,2025-01-22,22,Sinazongwe,1,2025
0.4593247199884364,2025-01-22,22,Zimba,1,2025
0.4859107618372498,2025-01-22,22,Choma,1,2025
0.4453477808016675,2025-01-23,23,Livingstone,1,2025
0.4284692863558025,2025-01-23,23,Chikankanta,1,2025
0.3825748313023981,2025-01-23,23,Chirundu,1,2025
0.3420756902620002,2025-01-23,23,Gwembe,1,2025
0.4417713557742695,2025-01-23,23,Itezhi-Tezhi,1,2025
0.4863270843127543,2025-01-23,23,Kalomo,1,2025
0.4507434791531776,2025-01-23,23,Kazungula,1,2025
0.4867629439203033,2025-01-23,23,Mazabuka,1,2025
0.4733563530046539,2025-01-23,23,Monze,1,2025
0.4827847590687347,2025-01-23,23,Namwala,1,2025
0.4496254595931378,2025-01-23,23,Pemba,1,2025
0.3693584368290933,2025-01-23,23,Siavonga,1,2025
0.3522503984543419,2025-01-23,23,Sinazongwe,1,2025
0.4451741253101658,2025-01-23,23,Zimba,1,2025
0.4782692180336976,2025-01-23,23,Choma,1,2025
0.430039354342359,2025-01-24,24,Livingstone,1,2025
0.427652564376663,2025-01-24,24,Chikankanta,1,2025
0.3833032713467805,2025-01-24,24,Chirundu,1,2025
0.336661220355806,2025-01-24,24,Gwembe,1,2025
0.4332291780598779,2025-01-24,24,Itezhi-Tezhi,1,2025
0.4773804971994449,2025-01-24,24,Kalomo,1,2025
0.4378861843327723,2025-01-24,24,Kazungula,1,2025
0.4870678064812025,2025-01-24,24,Mazabuka,1,2025
0.4664626509972666,2025-01-24,24,Monze,1,2025
0.4759831300945116,2025-01-24,24,Namwala,1,2025
0.4391839497648295,2025-01-24,24,Pemba,1,2025
0.3586980562388933,2025-01-24,24,Siavonga,1,2025
0.3419369533181838,2025-01-24,24,Sinazongwe,1,2025
0.4317130192517696,2025-01-24,24,Zimba,1,2025
0.467267443220128,2025-01-24,24,Choma,1,2025
0.4163532493031888,2025-01-25,25,Livingstone,1,2025
0.4119974923852583,2025-01-25,25,Chikankanta,1,2025
0.3653122230108043,2025-01-25,25,Chirundu,1,2025
0.3228040557495121,2025-01-25,25,Gwembe,1,2025
0.432636422701986,2025-01-25,25,Itezhi-Tezhi,1,2025
0.4683756786798317,2025-01-25,25,Kalomo,1,2025
0.4271600157146933,2025-01-25,25,Kazungula,1,2025
0.4744247357225283,2025-01-25,25,Mazabuka,1,2025
0.4565475577578428,2025-01-25,25,Monze,1,2025
0.4708801094085529,2025-01-25,25,Namwala,1,2025
0.4289397684484842,2025-01-25,25,Pemba,1,2025
0.3422277905186666,2025-01-25,25,Siavonga,1,2025
0.3307040707402215,2025-01-25,25,Sinazongwe,1,2025
0.4191101324005916,2025-01-25,25,Zimba,1,2025
0.4573172598600259,2025-01-25,25,Choma,1,2025
0.4029205925444252,2025-01-26,26,Livingstone,1,2025
0.4093412251642604,2025-01-26,26,Chikankanta,1,2025
0.3557809908101893,2025-01-26,26,Chirundu,1,2025
0.3133172359290661,2025-01-26,26,Gwembe,1,2025
0.4183540909661914,2025-01-26,26,Itezhi-Tezhi,1,2025
0.4602705664236246,2025-01-26,26,Kalomo,1,2025
0.4142221227485135,2025-01-26,26,Kazungula,1,2025
0.4719757385501068,2025-01-26,26,Mazabuka,1,2025
0.4475209262412192,2025-01-26,26,Monze,1,2025
0.4605689439310521,2025-01-26,26,Namwala,1,2025
0.4200631874410896,2025-01-26,26,Pemba,1,2025
0.3324115540861578,2025-01-26,26,Siavonga,1,2025
