date,day,district,month,pet_mm,precip_mm,year
2018-02-12,12,Itezhi-Tezhi,2,-6.014312485580233,7.756679789622772,2018
2018-02-13,13,Itezhi-Tezhi,2,-4.021480748936242,12.112231971963928,2018
2018-02-14,14,Itezhi-Tezhi,2,-4.69596278792062,21.13139516845238,2018
2018-02-15,15,Itezhi-Tezhi,2,-5.326322744776586,13.74967704775705,2018
2018-02-16,16,Itezhi-Tezhi,2,-5.055244723253345,19.360977813565892,2018
2018-02-17,17,Itezhi-Tezhi,2,-6.9592157820108875,9.389658342449982,2018
2018-02-18,18,Itezhi-Tezhi,2,-5.787484074077956,0.4169474744289074,2018
2018-02-19,19,Itezhi-Tezhi,2,-5.755168923484375,10.701244548726502,2018
2018-02-20,20,Itezhi-Tezhi,2,-6.335331254306961,5.3384899644712185,2018
2018-02-21,21,Itezhi-Tezhi,2,-5.038210387653566,9.032394337074717,2018
2018-02-22,22,Itezhi-Tezhi,2,-5.204636523953702,11.4183224629332,2018
2018-02-23,23,Itezhi-Tezhi,2,-6.644238062360889,10.904933199136597,2018
2018-02-24,24,Itezhi-Tezhi,2,-6.241345081393884,9.782804741276374,2018
2018-02-25,25,Itezhi-Tezhi,2,-6.076706128096449,10.722707889198674,2018
2018-02-26,26,Itezhi-Tezhi,2,-5.194234482402898,10.379821008739682,2018
2018-02-27,27,Itezhi-Tezhi,2,-4.694897034796894,14.72956666548566,2018
2018-02-28,28,Itezhi-Tezhi,2,-4.0781739529627465,19.162012384441788,2018
2018-03-01,1,Itezhi-Tezhi,3,-3.4090495833591157,7.972513791056246,2018
2018-03-02,2,Itezhi-Tezhi,3,-3.050191696416104,17.696951423500103,2018
2018-03-03,3,Itezhi-Tezhi,3,-3.194007575573447,7.7301671906405245,2018
2018-03-04,4,Itezhi-Tezhi,3,-2.983275404060945,12.53793827294213,2018
2018-03-05,5,Itezhi-Tezhi,3,-5.246154468993095,0.5481582875098058,2018
2018-03-06,6,Itezhi-Tezhi,3,-5.991326508969369,7.460749724249711,2018
2018-03-07,7,Itezhi-Tezhi,3,-6.198255226863634,2.4800897419046595,2018
2018-03-08,8,Itezhi-Tezhi,3,-6.370588776335041,9.339789935512178,2018
2018-03-09,9,Itezhi-Tezhi,3,-6.878321624410661,15.458127149777724,2018
2018-03-10,10,Itezhi-Tezhi,3,-4.649983655224255,9.761025640038236,2018
2018-03-11,11,Itezhi-Tezhi,3,-5.363488568262888,-999.0,2018
2018-03-12,12,Itezhi-Tezhi,3,-5.7558372884358695,1.8885065948709672,2018
2018-03-13,13,Itezhi-Tezhi,3,-9.194036359384564,0.0146852629571528,2018
2018-03-14,14,Itezhi-Tezhi,3,-6.590529177374686,-999.0,2018
2018-03-15,15,Itezhi-Tezhi,3,-5.5828711384695335,7.503516656983218,2018
2018-03-16,16,Itezhi-Tezhi,3,-6.375510966936336,6.577987948619833,2018
2018-03-17,17,Itezhi-Tezhi,3,-6.192497593804026,7.372045109514376,2018
2018-03-18,18,Itezhi-Tezhi,3,-8.305855295750069,0.3738258972811916,2018
2018-03-19,19,Itezhi-Tezhi,3,-7.595795410961319,0.0573596435083721,2018
2018-03-20,20,Itezhi-Tezhi,3,-7.648761902371704,0.0064835679231553,2018
2018-03-21,21,Itezhi-Tezhi,3,-6.666999693076879,-999.0,2018
2018-03-22,22,Itezhi-Tezhi,3,-7.099805940943865,1.4963599148603006,2018
2018-03-23,23,Itezhi-Tezhi,3,-6.28929346693517,2.9713939013644124,2018
2018-03-24,24,Itezhi-Tezhi,3,-5.259999916991342,10.715410427210497,2018
2018-03-25,25,Itezhi-Tezhi,3,-4.964288917189413,1.0918149197450002,2018
2018-03-26,26,Itezhi-Tezhi,3,-6.351385258448611,0.4087363163379374,2018
2018-03-27,27,Itezhi-Tezhi,3,-6.169549837201851,0.8267374881919103,2018
2018-03-28,28,Itezhi-Tezhi,3,-6.15296746116335,0.9593578864737268,2018
2018-03-29,29,Itezhi-Tezhi,3,-6.175559264426561,6.685501818895006,2018
2018-03-30,30,Itezhi-Tezhi,3,-5.5219981525766375,4.64791741170791,2018
2018-03-31,31,Itezhi-Tezhi,3,-5.852718346179668,1.3627370418860136,2018
2018-04-01,1,Itezhi-Tezhi,4,-6.412927929671306,-999.0,2018
2018-04-02,2,Itezhi-Tezhi,4,-7.596907543416495,-999.0,2018
2018-04-03,3,Itezhi-Tezhi,4,-8.267154426592704,-999.0,2018
2018-04-04,4,Itezhi-Tezhi,4,-6.8462813414282415,0.0360166312888324,2018
2018-04-05,5,Itezhi-Tezhi,4,-3.9948692257327063,19.020064755303427,2018
2018-04-06,6,Itezhi-Tezhi,4,-3.610589927694515,3.498556506513959,2018
2018-04-07,7,Itezhi-Tezhi,4,-5.983298974682831,1.134107534228071,2018
2018-04-08,8,Itezhi-Tezhi,4,-6.169893835734598,0.4269040787552591,2018
2018-04-09,9,Itezhi-Tezhi,4,-7.7836907686263554,-999.0,2018
